name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Andrew Bogut","Golden State Warriors",2015-02-07,2014,2747,1610612744,400579052,3,8,56,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"New York Knicks",0,1,0,0.20,"Thomas, Lance",8.50,14.80
"Andrew Bogut","Golden State Warriors",2015-03-28,2014,2747,1610612744,400579381,3,8,44,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Milwaukee Bucks",0,1,0,1.30,"Pachulia, Zaza",4.20,12.10
"Festus Ezeli","Golden State Warriors",2015-03-06,2014,6587,1610612744,400579214,4,6,25,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Dallas Mavericks",0,1,0,0.20,"Aminu, Al-Farouq",6.00,16.80
"Shaun Livingston","Golden State Warriors",2014-11-05,2014,2393,1610612744,400578360,3,4,17,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Los Angeles Clippers",0,1,0,0.60,"Redick, JJ",3.90,24.00
"Andrew Bogut","Golden State Warriors",2015-02-03,2014,2747,1610612744,400579022,2,1,25,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Sacramento Kings",0,1,0,0.20,"Cousins, DeMarcus",5.80,24.00
"Andrew Bogut","Golden State Warriors",2014-11-16,2014,2747,1610612744,400578437,1,11,14,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Los Angeles Lakers",0,1,0,1.10,"Bryant, Kobe",3.10,21.10
"Andre Iguodala","Golden State Warriors",2015-02-09,2014,2386,1610612744,400579067,4,9,44,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Philadelphia 76ers",0,1,0,1.20,"Noel, Nerlens",6.60,10.60
"Shaun Livingston","Golden State Warriors",2015-03-08,2014,2393,1610612744,400579224,4,8,26,0,"Alley Oop Dunk Shot","2PT Field Goal",0,"Los Angeles Clippers",0,1,0,4.90,"Turkoglu, Hedo",3.40,12.80
"Andrew Bogut","Golden State Warriors",2014-11-05,2014,2747,1610612744,400578360,2,4,23,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Los Angeles Clippers",0,1,0,0.60,"Jordan, DeAndre",3.90,24.00
"Festus Ezeli","Golden State Warriors",2015-04-05,2014,6587,1610612744,400579442,4,2,23,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"San Antonio Spurs",0,1,0,0.40,"Bonner, Matt",5.20,24.00
