name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Klay Thompson","Golden State Warriors",2015-12-23,2015,6475,1610612744,400828321,3,8,55,1,"Pullup Jump shot","3PT Field Goal",25,"Utah Jazz",184,174,0,0.60,"Neto, Raul",3.70,23.80
"Stephen Curry","Golden State Warriors",2016-04-03,2015,3975,1610612744,400829039,3,6,44,1,"Pullup Jump shot","3PT Field Goal",25,"Portland Trail Blazers",-205,156,0,0.00,,0.00,0.00
"Andre Iguodala","Golden State Warriors",2015-11-28,2015,2386,1610612744,400828132,4,6,53,1,"Pullup Jump shot","3PT Field Goal",26,"Sacramento Kings",-223,134,0,1.10,"Acy, Quincy",10.80,6.80
"Stephen Curry","Golden State Warriors",2016-04-03,2015,3975,1610612744,400829039,3,5,55,1,"Pullup Jump shot","3PT Field Goal",29,"Portland Trail Blazers",192,228,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2015-12-23,2015,3975,1610612744,400828321,1,7,13,0,"Pullup Jump shot","3PT Field Goal",25,"Utah Jazz",-92,242,0,0.70,"Neto, Raul",7.50,23.30
"Klay Thompson","Golden State Warriors",2015-11-28,2015,6475,1610612744,400828132,3,6,21,1,"Pullup Jump shot","3PT Field Goal",23,"Sacramento Kings",227,38,0,0.70,"Belinelli, Marco",4.30,13.70
"Leandro Barbosa","Golden State Warriors",2016-04-03,2015,2166,1610612744,400829039,3,0,52,1,"Pullup Jump shot","3PT Field Goal",25,"Portland Trail Blazers",-40,247,0,0.00,,0.00,0.00
"Stephen Curry","Golden State Warriors",2015-11-28,2015,3975,1610612744,400828132,1,5,18,1,"Pullup Jump shot","3PT Field Goal",25,"Sacramento Kings",-202,149,0,0.90,"McLemore, Ben",5.80,16.70
"Klay Thompson","Golden State Warriors",2015-11-24,2015,6475,1610612744,400828101,1,4,08,0,"Pullup Jump shot","3PT Field Goal",25,"Los Angeles Lakers",101,239,0,0.70,"Williams, Lou",4.60,23.60
"Klay Thompson","Golden State Warriors",2016-04-03,2015,6475,1610612744,400829039,2,5,03,1,"Pullup Jump shot","2PT Field Goal",18,"Portland Trail Blazers",99,160,0,0.00,,0.00,0.00
